customer_id,passed_funnel,city,shipping_state,shipping_zipcode,first_activity_at,attribution_channel,vendor,leadscore,q_age,q_apply,q_braces,q_budget,q_changes,q_clear_aligners,q_conditions,q_conditions1,q_conditions2,q_conditions3,q_dental_concerns,q_describe_teeth,q_finance_options,q_fsa_hsa,q_fsa_hsa_monthly,q_goals,q_happy,q_how_hear,q_hesitations,q_how_urgent,q_invisible_aligners,q_last_ortho,q_long,q_monthly,q_options_considering,q_ortho_checkup,q_referral,q_severity,q_teeth_spacing,q_urgency,q_whitening,q_why_interested,q_years_considering,q_zip,survey_started_at
326455,FALSE,,,,02:57.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328774,FALSE,,,,52:37.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315079,TRUE,Chicago,IL,60652,18:54.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368457,TRUE,Elk River,MN,55330,40:03.1,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305337,TRUE,Aurora,IL,60506-3845,02:13.6,organic social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272170,FALSE,,,,22:16.7,organic social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326633,TRUE,Glen Burnie,MD,21061,04:14.0,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331533,TRUE,Carpinteria,CA,93013,11:31.8,affiliate,shareasale,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278649,TRUE,Darlington,WI,53530,18:25.1,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333718,FALSE,,,,39:33.7,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322579,FALSE,,,,46:18.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328254,FALSE,Far Rockaway,NY,11691,12:20.1,paid search,google search,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268734,TRUE,Mobile,AL,36608,02:42.6,referral,friendbuy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334438,TRUE,Missouri City,TX,77459-6334,38:17.0,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
